26
90,25,380
105,50,415
125,75,485
140,100,540
155,125,605
170,150,675
200,200,840
230,250,1025
255,330,1200
290,430,1480
315,505,1700
370,710,2250
430,940,1950
485,1200,3680
550,1540,4660
600,1835,5500
660,2220,6600
720,2640,7800
780,3100,9110
840,3595,10530
900,4125,12050
960,4695,13670
1020,5300,15400
1080,5940,17200
1140,6620,19180
1200,7335,21220
