26
175,1,15
210,2,16
250,3,19
280,4,22
308,5,24
337,6,27
395,8,33
452,10,40
510,13,48
568,17,58
625,20,68
740,28,91
855,38,128
970,49,150
1085,61,183
1200,75,222
1320,90,268
1440,107,316
1560,126,371
1680,146,427
1800,168,490
1920,191,555
2040,215,628
2160,241,700
2280,269,779
2400,299,862
